culture_condition,model,dose,relative_log1p_downstream,knots,breakpoint,hill_exponent,hill_half
Rest,isotonic,0.5152168516911124,0.10635323782020331,,,,
Rest,isotonic,0.5241943174005363,0.10635323782020331,,,,
Rest,isotonic,0.5331717831099603,0.10635323782020331,,,,
Rest,isotonic,0.542149248819384,0.10635323782020331,,,,
Rest,isotonic,0.5511267145288079,0.10635323782020331,,,,
Rest,isotonic,0.5601041802382318,0.10635323782020331,,,,
Rest,isotonic,0.5690816459476555,0.10635323782020331,,,,
Rest,isotonic,0.5780591116570795,0.10635323782020331,,,,
Rest,isotonic,0.5870365773665032,0.10635323782020331,,,,
Rest,isotonic,0.5960140430759271,0.10635323782020331,,,,
Rest,isotonic,0.604991508785351,0.10635323782020331,,,,
Rest,isotonic,0.6139689744947747,0.10635323782020331,,,,
Rest,isotonic,0.6229464402041986,0.10635323782020331,,,,
Rest,isotonic,0.6319239059136226,0.10635323782020331,,,,
Rest,isotonic,0.6409013716230463,0.10635323782020331,,,,
Rest,isotonic,0.6498788373324702,0.10635323782020331,,,,
Rest,isotonic,0.6588563030418941,0.10635323782020331,,,,
Rest,isotonic,0.6678337687513178,0.10635323782020331,,,,
Rest,isotonic,0.6768112344607418,0.10635323782020331,,,,
Rest,isotonic,0.6857887001701655,0.10635323782020331,,,,
Rest,isotonic,0.6947661658795894,0.10635323782020331,,,,
Rest,isotonic,0.7037436315890133,0.10635323782020331,,,,
Rest,isotonic,0.712721097298437,0.10635323782020331,,,,
Rest,isotonic,0.721698563007861,0.12068659929169175,,,,
Rest,isotonic,0.7306760287172849,0.12068659929169175,,,,
Rest,isotonic,0.7396534944267086,0.12068659929169175,,,,
Rest,isotonic,0.7486309601361325,0.12068659929169175,,,,
Rest,isotonic,0.7576084258455562,0.12068659929169175,,,,
Rest,isotonic,0.7665858915549801,0.12068659929169175,,,,
Rest,isotonic,0.7755633572644041,0.12068659929169175,,,,
Rest,isotonic,0.7845408229738278,0.12068659929169175,,,,
Rest,isotonic,0.7935182886832517,0.12068659929169175,,,,
Rest,isotonic,0.8024957543926756,0.12068659929169175,,,,
Rest,isotonic,0.8114732201020993,0.12068659929169175,,,,
Rest,isotonic,0.8204506858115233,0.12068659929169175,,,,
Rest,isotonic,0.8294281515209472,0.13633948540523347,,,,
Rest,isotonic,0.8384056172303709,0.13633948540523347,,,,
Rest,isotonic,0.8473830829397948,0.13633948540523347,,,,
Rest,isotonic,0.8563605486492185,0.15581123692976678,,,,
Rest,isotonic,0.8653380143586424,0.15581123692976678,,,,
Rest,isotonic,0.8743154800680664,0.15581123692976678,,,,
Rest,isotonic,0.8832929457774901,0.15581123692976678,,,,
Rest,isotonic,0.892270411486914,0.15581123692976678,,,,
Rest,isotonic,0.9012478771963379,0.15581123692976678,,,,
Rest,isotonic,0.9102253429057616,0.15581123692976678,,,,
Rest,isotonic,0.9192028086151856,0.15581123692976678,,,,
Rest,isotonic,0.9281802743246093,0.15581123692976678,,,,
Rest,isotonic,0.9371577400340332,0.15581123692976678,,,,
Rest,isotonic,0.9461352057434571,0.15581123692976678,,,,
Rest,isotonic,0.9551126714528808,0.15581123692976678,,,,
Rest,isotonic,0.9640901371623047,0.15581123692976678,,,,
Rest,isotonic,0.9730676028717284,0.15581123692976678,,,,
Rest,isotonic,0.9820450685811524,0.15581123692976678,,,,
Rest,isotonic,0.9910225342905763,0.24806660946820464,,,,
Rest,isotonic,1.0,0.24806660946820464,,,,
Rest,breakpoint,-0.0683184194214374,0.0,,0.8786684174425605,,
Rest,breakpoint,-0.05934095371201356,0.006370059663091891,,0.8786684174425605,,
Rest,breakpoint,-0.05036348800258972,0.012740119326183783,,0.8786684174425605,,
Rest,breakpoint,-0.04138602229316587,0.01911017898927568,,0.8786684174425605,,
Rest,breakpoint,-0.032408556583742025,0.025480238652367572,,0.8786684174425605,,
Rest,breakpoint,-0.023431090874318182,0.03185029831545946,,0.8786684174425605,,
Rest,breakpoint,-0.014453625164894332,0.038220357978551354,,0.8786684174425605,,
Rest,breakpoint,-0.005476159455470489,0.044590417641643246,,0.8786684174425605,,
